Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,PE Ratio TTM,EPS Forecast Next Qtr
NVDA,NVIDIA Corporation,178.56,USD,-1.0199556541019974,168278148,0.9874558554389178,4339007853197.7466,USD,Electronic technology,Strong buy,181.55410832363543,182.387473123521,181.44420920242243,-2.4102311854402343,-1.7551581843191184,36.42892116859801,1.763872
GOOGL,Alphabet Inc.,307.13,USD,-0.18200136501023834,24977460,1.0580900120256227,3707806497121.8066,USD,Technology services,Strong buy,309.45974724391596,308.33851469374895,299.2628635703715,0.9134220469853696,2.3630182642314272,28.422435891503717,2.603706
GOOG,Alphabet Inc.,305.73,USD,-0.18609206660136898,15330229,1.0151658882762855,3707654545267.985,USD,Technology services,Strong buy,309.0702847292357,308.22913949402977,299.4074827896943,0.7015810276679827,1.6930548163917083,28.292877039395147,2.604729
AAPL,Apple Inc.,248.96,USD,-0.3920941025846162,34530569,1.0243773282766864,3655016562576.9946,USD,Electronic technology,Strong buy,257.1872889352579,259.01541690391304,258.0816341111922,-1.2474960829812902,-3.522573144739393,31.49877274222526,1.946418
MSFT,Microsoft Corporation,389.02,USD,-0.7070114091732914,24638499,0.9096633633278766,2888718220112.0796,USD,Technology services,Strong buy,408.5252845234676,423.5446640174697,440.12312253153044,-2.273469490290655,-2.554982215319885,24.33976312183646,4.045793
AMZN,"Amazon.com, Inc.",208.76,USD,-0.5288988421403791,36043304,0.8823262432752097,2241022034617.968,USD,Retail trade,Strong buy,213.59285219475063,217.3466155649667,220.1560051835146,0.19678425725941762,5.367823343848576,29.10682914586877,1.621427
META,"Meta Platforms, Inc.",606.7,USD,-1.4585498960498806,12911518,1.0485138900590685,1534681273485.8564,USD,Technology services,Strong buy,636.1632279548337,644.3474844541815,653.2257722652721,-4.003164556962018,-5.128265271816036,25.82702237887863,6.626449
AVGO,Broadcom Inc.,319.84,USD,1.2376159275788838,23148659,0.7804363474489341,1514336168017.6294,USD,Electronic technology,Strong buy,327.4990758525904,331.41185431088127,331.57827607473877,-1.8955892276547475,0.05161492140454012,62.39076154806491,2.382878
TSLA,"Tesla, Inc.",380.3,USD,-3.1773511889607318,66671994,1.1349406741422587,1427049841341.6558,USD,Consumer durables,Buy,403.85067268611635,411.5744036974522,412.451168304326,-4.017969814749386,-7.7747599185178,353.43866171003714,0.408107
BRK.A,Berkshire Hathaway Inc.,722777.77,USD,-0.5178283370495749,157,1.097902097902098,1039667982972.2592,USD,Finance,Buy,739917.2800943457,741750.3382502245,742452.6351056717,-2.4873019128079044,-3.3653311365538583,15.522572367790188,7756.953898
BRK.B,Berkshire Hathaway Inc. New,481.48,USD,-0.6171692777674591,3993385,0.9546721929199558,1038629790965.2264,USD,Finance,Buy,493.0233038039353,494.1914908220219,494.6494758950896,-2.2911297359822966,-3.706888793336194,15.510598543908253,5.173888
WMT,Walmart Inc.,121.09,USD,-0.7296278078373508,17813859,0.9499295498002198,965378226371.7968,USD,Retail trade,Strong buy,123.6212198202559,121.54524889100323,117.95949601057009,-4.473019880088358,-9.03012546014575,44.360186101036746,0.661022
LLY,Eli Lilly and Company,917.5,USD,-0.05990959098087844,2364556,0.9140541906681549,866871281197.699,USD,Health technology,Strong buy,996.7096408179008,1001.9819786142523,985.3714742189114,-7.508215891449425,-12.252178154378774,40.616215498351,7.254933
JPM,JP Morgan Chase & Co.,287.97,USD,0.07993327309377152,9818137,0.972407196774577,776664414229.2089,USD,Finance,Strong buy,297.29721003618,301.42507441375454,302.84550779221604,0.5692533351959392,-4.885057471264356,14.39116050814085,5.379811
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",24.62,USD,-0.12170385395536545,115653,1.0263972040831177,776044096782.0,USD,Finance,,24.849207287986992,24.906206967806423,24.93611148584416,-0.8058017727638972,-1.7949740725967263,1.23037251001989,5.379811
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",19.3,USD,0,169516,0.9663469376819211,776044096782.0,USD,Finance,,19.633984647212007,19.72150299678072,19.799271907242503,-0.9240246406570828,-3.1124497991967917,0.964508100868557,5.379811
JPM/PJ,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",19.74,USD,-0.30303030303031453,74740,1.1506746395866563,776044096782.0,USD,Finance,,20.133631687583605,20.238745328413447,20.33677030390371,-0.8538422903063873,-3.2352941176470598,0.9864968865878401,5.379811
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",18.99,USD,-0.05263157894737665,89907,0.7362950454231647,776044096782.0,USD,Finance,,19.302550649672458,19.395258498282946,19.476068935155684,-0.5759162303665077,-3.013278855975485,0.949016001839062,5.379811
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",25.04,USD,0.0399520575309549,161735,1.3143982829562604,776044096782.0,USD,Finance,,25.13349016522906,25.174682244841865,25.21824611057804,-0.23904382470120428,-0.39777247414479483,1.2513618054792055,5.379811
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",17.87,USD,-0.5564830272676565,333390,1.9261767999084838,776044096782.0,USD,Finance,,18.26463946833651,18.348349639941972,18.409104929567818,-0.6670372429127152,-4.1309012875536455,0.8930445472808868,5.379811
XOM,Exxon Mobil Corporation,158.16,USD,0.36169807728916376,27022236,1.2588932258877208,659015327029.778,USD,Energy minerals,Buy,149.23723896476392,143.327749190329,136.4491745806657,1.3846153846153824,6.720647773279358,23.62430543108084,1.684121
TCTZF,Tencent Holding Ltd.,65.212,USD,-2.720926069574554,3849,0.20020806241872563,588448060347.6451,USD,Technology services,Strong buy,69.30668116150437,71.41557544238512,73.06276574213851,-12.044455234549908,-0.9628527169456008,19.326686194467523,1.0605886028399998
JNJ,Johnson & Johnson,237.6,USD,0.13486176668914074,7479789,1.0823756390193937,572591981820.2832,USD,Health technology,Buy,236.5902253440312,230.2942705107518,220.7589139613608,-2.5910134470318114,-2.6748044074878146,21.51043835666045,2.684245
V,Visa Inc.,299.71,USD,0.23075379573272614,6798100,1.0631212132239638,571250043737.7921,USD,Finance,Strong buy,315.71533758399323,321.39842871355495,326.90142854514863,-2.6441448757511914,-4.675423809675279,28.400993101356985,3.093554
ASMLF,ASML Holding N.V.,1374.964,USD,1.8499396291824333,585,1.0548142805625675,525215351635.38525,USD,Electronic technology,Strong buy,1357.8046458695712,1317.9086555900894,1243.5599573677894,-0.0738382825331819,-1.6042857285982015,47.36602774350268,7.44920364105
MU,"Micron Technology, Inc.",444.27,USD,-3.781430706256911,73833286,1.7705875782178548,500030018543.0016,USD,Electronic technology,Strong buy,404.36819002989364,378.5093190475206,339.1988815200252,-0.42361484669177946,10.804339693228581,20.975524541557288,18.486747
ORCL,Oracle Corporation,155.52,USD,1.7135382603008533,21922429,0.6268717622905101,447282640270.1101,USD,Technology services,Strong buy,159.00495877854505,168.75232647426535,181.91428818762722,-0.3460207612456696,-1.5571591340675905,27.922509291344237,1.954363
MA,Mastercard Incorporated,491.14,USD,0.5466047044854258,3274514,1.109590247981946,438004691478.60956,USD,Finance,Strong buy,516.7319299130968,526.6743848719711,536.2057575266733,-1.5001403874694192,-4.633009708737867,29.729124421173694,4.394274
COST,Costco Wholesale Corporation,974.78,USD,-0.524532614907338,1332615,0.8401668890841508,432463602585.7341,USD,Retail trade,Buy,984.3984147415532,972.2006867046105,960.9091620950321,-3.5348837209302353,-4.652072695971991,50.6950692468913,4.896934
