date,price,total_return_index
1993-01-29,43.937500,100.00000000
1993-02-01,44.250000,100.71123953
1993-02-02,44.343750,100.92454732
1993-02-03,44.812500,101.99142640
1993-02-04,45.000000,102.41819227
1993-02-05,44.968750,102.34705803
1993-02-08,44.968750,102.34705803
1993-02-09,44.656250,101.63583432
1993-02-10,44.718750,101.77806324
1993-02-11,44.937500,102.27594752
1993-02-12,44.593750,101.49359748
1993-02-16,43.468750,98.93315256
1993-02-17,43.437500,98.86197878
1993-02-18,43.406250,98.79088409
1993-02-19,43.562500,99.14652363
1993-02-22,43.718750,99.50204453
1993-02-23,43.687500,99.43098148
1993-02-24,44.250000,100.71123953
1993-02-25,44.343750,100.92454732
1993-02-26,44.406250,101.06679207
1993-03-01,44.281250,100.78238959
1993-03-02,44.937500,102.27594752
1993-03-03,45.125000,102.70271339
1993-03-04,44.875000,102.13366323
1993-03-05,44.750000,101.84920539
1993-03-08,45.750000,104.12516873
1993-03-09,45.593750,103.76952128
1993-03-10,45.687500,103.98291608
1993-03-11,45.562500,103.69845823
1993-03-12,45.093750,102.63159498
1993-03-15,45.312500,103.12943180
1993-03-16,45.312500,103.12943180
1993-03-17,45.031250,102.48935023
1993-03-18,45.312500,103.12943180
1993-03-19,45.031250,102.97337627
1993-03-22,44.781250,102.40166837
1993-03-23,44.875000,102.61605191
1993-03-24,44.875000,102.61605191
1993-03-25,45.156250,103.25916299
1993-03-26,44.906250,102.68750255
1993-03-29,45.093750,103.11631709
1993-03-30,45.218750,103.40206426
1993-03-31,45.187500,103.33066109
1993-04-01,45.031250,102.97337627
1993-04-02,44.093750,100.82955666
1993-04-05,44.312500,101.32980602
1993-04-06,44.187500,101.04394811
1993-04-07,44.343750,101.40118547
1993-04-08,44.281250,101.25838703
1993-04-12,44.906250,102.68750255
1993-04-13,45.000000,102.90187818
1993-04-14,44.937500,102.75897691
1993-04-15,44.937500,102.75897691
1993-04-16,44.937500,102.75897691
1993-04-19,44.750000,102.33018609
1993-04-20,44.531250,101.82995255
1993-04-21,44.500000,101.75858893
1993-04-22,43.937500,100.47227185
1993-04-23,43.750000,100.04351267
1993-04-26,43.406250,99.25751614
1993-04-27,43.875000,100.32933894
1993-04-28,43.781250,100.11498703
1993-04-29,43.968750,100.54373039
1993-04-30,44.031250,100.68667912
1993-05-03,44.312500,101.32980602
1993-05-04,44.468750,101.68704337
1993-05-05,44.593750,101.97291710
1993-05-06,44.437500,101.61558483
1993-05-07,44.343750,101.40118547
1993-05-10,44.437500,101.61558483
1993-05-11,44.625000,102.04439938
1993-05-12,44.562500,101.90145856
1993-05-13,44.031250,100.68667912
1993-05-14,44.000000,100.61518103
1993-05-17,44.156250,100.97248957
1993-05-18,44.125000,100.90097565
1993-05-19,45.031250,102.97337627
1993-05-20,45.156250,103.25916299
1993-05-21,44.750000,102.33018609
1993-05-24,44.937500,102.75897691
1993-05-25,45.031250,102.97337627
1993-05-26,45.593750,104.25960635
1993-05-27,45.437500,103.90235317
1993-05-28,45.218750,103.40206426
1993-06-01,45.656250,104.40255507
1993-06-02,45.593750,104.25960635
1993-06-03,45.437500,103.90235317
1993-06-04,45.281250,103.54506836
1993-06-07,45.125000,103.18776773
1993-06-08,44.718750,102.25873546
1993-06-09,44.875000,102.61605191
1993-06-10,44.906250,102.68750255
1993-06-11,45.093750,103.11631709
1993-06-14,45.031250,102.97337627
1993-06-15,44.937500,102.75897691
1993-06-16,45.031250,102.97337627
1993-06-17,45.187500,103.33066109
1993-06-18,44.500000,102.47977128
1993-06-21,44.593750,102.69561025
1993-06-22,44.625000,102.76761458
